iter	Passed	Remaining
133	7312	101824
134	7370	101821
135	7427	101796
136	7474	101644
137	7561	102032
138	7646	102375
139	7714	102487
140	7761	102325
141	7814	102255
142	7867	102173
143	7933	102249
144	7992	102251
145	8040	102101
146	8091	101994
147	8138	101834
148	8186	101698
149	8234	101557
150	8306	101708
151	8384	101937
152	8435	101830
153	8482	101685
154	8535	101602
155	8586	101498
156	8630	101308
157	8686	101265
158	8735	101150
159	8817	101396
160	8880	101431
161	8933	101359
162	8991	101338
163	9056	101389
164	9115	101370
165	9171	101330
166	9223	101232
167	9275	101152
168	9331	101100
169	9398	101170
170	9460	101187
171	9520	101183
172	9589	101271
173	9758	102406
174	9824	102457
175	9878	102375
176	9935	102329
177	9991	102277
178	10059	102337
179	10125	102381
180	10179	102300
181	10235	102239
182	10296	102238
183	10355	102204
184	10409	102129
185	10467	102086
186	10530	102094
187	10602	102194
188	10666	102202
189	10722	102150
190	10784	102140
191	10856	102234
192	10919	102234
193	10977	102188
194	11023	102034
195	11077	101962
196	11135	101919
197	11192	101860
198	11246	101785
199	11303	101728
200	11362	101694
201	11418	101634
202	11493	101740
203	11563	101807
204	11621	101762
205	11693	101833
206	11749	101774
207	11808	101731
208	11865	101683
209	11925	101646
210	11983	101600
211	12036	101513
212	12087	101406
213	12140	101324
214	12196	101258
215	12247	101158
216	12309	101145
217	12372	101140
218	12431	101094
219	12489	101049
220	12546	100999
221	12601	100921
222	12665	100922
223	12809	101557
224	12884	101643
225	12950	101655
226	13003	101567
227	13059	101495
228	13114	101422
229	13179	101421
230	13226	101291
231	13277	101182
232	13328	101075
233	13383	101006
234	13431	100882
235	13485	100794
236	13534	100678
237	13585	100579
238	13635	100469
239	13694	100425
240	13745	100325
241	13793	100199
242	13842	100086
243	13891	99974
244	13939	99852
245	13987	99731
246	14037	99629
247	14162	100048
248	14207	99911
249	14259	99813
250	14307	99696
251	14354	99571
252	14404	99462
253	14452	99348
254	14504	99258
255	14552	99136
256	14599	99014
257	14646	98894
258	14690	98752
259	14737	98626
260	14785	98513
261	14834	98408
262	14882	98290
263	14925	98147
264	14975	98049
265	15024	97944
266	15075	97848
267	15136	97823
268	15194	97776
269	15241	97656
270	15290	97553
271	15347	97502
272	15404	97446
273	15459	97381
274	15516	97329
275	15581	97328
276	15649	97343
277	15866	98283
278	15933	98285
279	15987	98207
280	16035	98096
281	16083	97980
282	16142	97936
283	16198	97875
284	16257	97827
285	16312	97761
286	16363	97667
287	16466	97882
288	16527	97849
289	16588	97813
290	16648	97772
291	16713	97762
292	16759	97640
293	16804	97514
294	16856	97425
295	16906	97326
296	16959	97245
297	17005	97125
298	17052	97009
299	17098	96891
300	17142	96763
301	17189	96649
302	17239	96551
303	17292	96472
304	17352	96433
305	17411	96390
306	17470	96345
307	17535	96328
308	17596	96298
309	17670	96332
310	17729	96286
311	17787	96232
312	17834	96125
313	17884	96027
314	17929	95906
315	17976	95798
316	18033	95745
317	18090	95688
318	18147	95628
319	18205	95581
320	18260	95513
321	18317	95455
322	18373	95394
323	18439	95385
324	18565	95683
325	18666	95853
326	18716	95755
327	18764	95653
328	18815	95565
329	18860	95446
330	18906	95332
331	18953	95223
332	19003	95130
333	19051	95029
334	19105	94957
335	19155	94863
336	19208	94790
337	19258	94696
338	19306	94594
339	19352	94487
340	19410	94434
341	19454	94316
342	19501	94211
343	19556	94144
344	19628	94159
345	19685	94101
346	19733	94004
347	19782	93908
348	19830	93811
349	19878	93713
350	19930	93633
351	19979	93538
352	20028	93446
353	20078	93358
354	20129	93275
355	20185	93215
356	20233	93119
357	20281	93022
358	20327	92915
359	20375	92823
360	20424	92731
361	20477	92657
362	20526	92567
363	20575	92476
364	20628	92404
365	20681	92331
366	20730	92243
367	20777	92142
368	20823	92042
369	20872	91951
370	20919	91856
371	20969	91770
372	21016	91673
373	21063	91577
374	21109	91475
375	21155	91374
376	21208	91303
377	21281	91318
378	21379	91443
379	21431	91363
380	21479	91274
381	21533	91208
382	21581	91115
383	21639	91066
384	21686	90971
385	21736	90886
386	21794	90839
387	21860	90822
388	21915	90762
389	21962	90667
390	22011	90577
391	22061	90495
392	22108	90403
393	22159	90324
394	22212	90254
395	22261	90169
396	22309	90082
397	22361	90007
398	22412	89931
399	22481	89925
400	22531	89844
401	22581	89762
402	22632	89686
403	22686	89624
404	22734	89534
405	22783	89450
406	22831	89362
407	22881	89282
408	22933	89209
409	22982	89126
410	23028	89031
411	23078	88952
412	23127	88869
413	23176	88786
414	23226	88707
415	23272	88616
416	23323	88539
417	23374	88466
418	23428	88400
419	23478	88324
420	23530	88252
421	23581	88178
422	23634	88112
423	23688	88049
424	23735	87962
425	23797	87927
426	23917	88108
427	24023	88235
428	24091	88222
429	24146	88161
430	24195	88081
431	24245	88002
432	24293	87917
433	24347	87853
434	24393	87758
435	24445	87688
436	24492	87600
437	24543	87527
438	24593	87448
439	24652	87404
440	24729	87422
441	24785	87366
442	24841	87308
443	24896	87249
444	24952	87192
445	25012	87152
446	25066	87087
447	25122	87032
448	25181	86984
449	25237	86929
450	25295	86881
451	25353	86828
452	25408	86771
453	25472	86739
454	25531	86693
455	25592	86654
456	25657	86630
457	25719	86591
458	25784	86566
459	25849	86538
460	25908	86494
461	25977	86479
462	26035	86428
463	26098	86396
464	26156	86345
465	26220	86315
466	26288	86295
467	26362	86299
468	26418	86240
469	26476	86190
470	26532	86131
471	26596	86100
472	26723	86273
473	26799	86277
474	26854	86215
475	26912	86166
476	26973	86121
477	27030	86069
478	27091	86025
479	27148	85970
480	27205	85915
481	27261	85858
482	27317	85798
483	27378	85754
484	27438	85709
485	27497	85662
486	27553	85601
487	27616	85564
488	27675	85516
489	27731	85458
490	27787	85401
491	27845	85348
492	27906	85305
493	27956	85228
494	28007	85152
495	28056	85075
496	28111	85012
497	28166	84950
498	28215	84872
499	28271	84815
500	28327	84755
501	28381	84691
502	28440	84641
503	28496	84584
504	28570	84579
505	28642	84568
506	28700	84516
507	28759	84465
508	28812	84399
509	28873	84355
510	28933	84309
511	28996	84271
512	29065	84250
513	29131	84220
514	29189	84167
515	29241	84096
516	29308	84070
517	29359	83997
518	29406	83913
519	29459	83845
520	29518	83795
521	29585	83767
522	29647	83728
523	29802	83948
524	29853	83873
525	29903	83798
526	29951	83715
527	30000	83638
528	30050	83561
529	30112	83520
530	30172	83470
531	30220	83391
532	30269	83311
533	30317	83229
534	30371	83167
535	30424	83099
536	30481	83043
537	30529	82962
538	30584	82900
539	30636	82830
540	30693	82774
541	30743	82700
542	30821	82700
543	30913	82738
544	30971	82686
545	31028	82629
546	31086	82575
547	31135	82497
548	31187	82428
549	31235	82347
550	31287	82278
551	31334	82196
552	31382	82116
553	31432	82042
554	31478	81957
555	31529	81886
556	31585	81827
557	31631	81742
558	31688	81688
559	31747	81635
560	31808	81589
561	31861	81524
562	31909	81445
563	31961	81376
564	32036	81366
565	32083	81284
566	32131	81206
567	32186	81146
568	32245	81095
569	32307	81052
570	32366	81001
571	32435	80975
572	32494	80924
573	32555	80879
574	32628	80863
575	32688	80813
576	32829	80963
577	32902	80947
578	32962	80897
579	33026	80857
580	33104	80853
581	33186	80857
582	33246	80805
583	33307	80758
584	33363	80700
585	33426	80655
586	33487	80608
587	33556	80581
588	33623	80548
589	33682	80496
590	33737	80434
591	33798	80385
592	33851	80319
593	33902	80247
594	33950	80167
595	33997	80087
596	34046	80011
597	34100	79949
598	34158	79892
599	34206	79815
600	34257	79744
601	34313	79685
602	34367	79619
603	34427	79570
604	34479	79501
605	34547	79470
606	34614	79436
607	34672	79381
608	34729	79324
609	34788	79272
610	34848	79222
611	34907	79170
612	34966	79115
613	35013	79037
614	35063	78963
615	35116	78897
616	35174	78843
617	35238	78801
618	35294	78742
619	35360	78704
620	35449	78718
621	35519	78691
622	35598	78682
623	35790	78923
624	35856	78884
625	35914	78829
626	35976	78780
627	36028	78711
628	36088	78660
629	36150	78613
630	36212	78565
631	36266	78501
632	36315	78425
633	36362	78346
634	36419	78288
635	36504	78289
636	36557	78222
637	36609	78154
638	36657	78076
639	36709	78008
640	36760	77937
641	36810	77863
642	36861	77794
643	36909	77716
644	36958	77640
645	37012	77578
646	37058	77495
647	37108	77424
648	37167	77369
649	37229	77322
650	37278	77248
651	37323	77166
652	37374	77094
653	37423	77022
654	37476	76956
655	37530	76892
656	37584	76828
657	37638	76765
658	37699	76714
659	37761	76666
660	37813	76598
661	37861	76524
662	37916	76461
663	37973	76403
664	38019	76324
665	38068	76250
666	38116	76175
667	38165	76103
668	38213	76026
669	38267	75963
670	38316	75889
671	38367	75821
672	38418	75751
673	38466	75678
674	38519	75611
675	38584	75570
676	38711	75649
677	38768	75592
678	38818	75520
679	38867	75448
680	38915	75373
681	38980	75331
682	39048	75295
683	39114	75255
684	39175	75206
685	39225	75135
686	39278	75069
687	39325	74993
688	39371	74913
689	39415	74832
690	39465	74762
691	39519	74699
692	39574	74637
693	39614	74548
694	39668	74484
695	39716	74410
696	39766	74340
697	39811	74261
698	39860	74189
699	39925	74147
700	39999	74121
701	40049	74051
702	40097	73978
703	40149	73910
704	40196	73836
705	40273	73816
706	40344	73783
707	40410	73742
708	40467	73685
709	40525	73630
710	40580	73570
711	40657	73549
712	40715	73493
713	40774	73439
714	40837	73392
715	40893	73333
716	40948	73273
717	41009	73223
718	41072	73176
719	41127	73115
720	41185	73059
721	41242	73002
722	41304	72954
723	41489	73123
724	41558	73086
725	41621	73038
726	41672	72970
727	41732	72917
728	41791	72862
729	41847	72802
730	41902	72741
731	41963	72690
732	42022	72636
733	42079	72577
734	42148	72540
735	42226	72518
736	42292	72477
737	42357	72432
738	42423	72390
739	42483	72337
740	42541	72280
741	42614	72248
742	42669	72188
743	42728	72133
744	42784	72073
745	42855	72038
746	42926	72003
747	42997	71968
748	43064	71927
749	43119	71865
750	43174	71803
751	43234	71750
752	43290	71691
753	43346	71631
754	43402	71570
755	43464	71521
756	43524	71466
757	43580	71408
758	43636	71347
759	43696	71294
760	43749	71229
761	43805	71169
762	43863	71112
763	43916	71048
764	43965	70977
765	44022	70918
766	44074	70852
767	44126	70786
768	44181	70725
769	44232	70657
770	44286	70594
771	44344	70537
772	44426	70518
773	44504	70494
774	44643	70564
775	44707	70517
776	44761	70455
777	44817	70394
778	44873	70334
779	44937	70287
780	44993	70225
781	45054	70174
782	45110	70114
783	45161	70047
784	45215	69983
785	45267	69917
786	45325	69860
787	45375	69791
788	45423	69718
789	45475	69652
790	45531	69592
791	45581	69523
792	45635	69460
793	45689	69397
794	45748	69342
795	45796	69269
796	45848	69203
797	45897	69134
798	45949	69067
799	46001	69002
800	46051	68933
801	46101	68864
802	46161	68810
803	46212	68744
804	46262	68674
805	46314	68610
806	46376	68559
807	46427	68492
808	46480	68427
809	46534	68365
810	46581	68293
811	46628	68219
812	46684	68161
813	46753	68119
814	46803	68051
815	46851	67980
816	46901	67912
817	46955	67850
818	47001	67776
819	47050	67706
820	47098	67635
821	47147	67565
822	47189	67487
823	47238	67417
824	47289	67351
825	47343	67290
826	47506	67381
827	47572	67337
828	47624	67271
829	47670	67198
830	47711	67117
831	47758	67044
832	47808	66977
833	47862	66915
834	47910	66845
835	47958	66774
836	48010	66710
837	48073	66659
838	48122	66591
839	48175	66528
840	48226	66462
841	48317	66451
842	48365	66381
843	48413	66310
844	48461	66240
845	48514	66176
846	48560	66104
847	48614	66042
848	48665	65976
849	48714	65908
850	48766	65843
851	48817	65778
852	48869	65713
853	48938	65671
854	49010	65634
855	49072	65582
856	49121	65513
857	49173	65449
858	49220	65378
859	49270	65312
860	49321	65246
861	49377	65188
862	49427	65121
863	49481	65058
864	49535	64998
865	49587	64933
866	49637	64866
867	49691	64805
868	49742	64739
869	49789	64668
870	49844	64609
871	49892	64539
872	49941	64472
873	49993	64408
874	50051	64352
875	50178	64384
876	50239	64331
877	50291	64267
878	50348	64209
879	50399	64145
880	50462	64094
881	50524	64044
882	50571	63973
883	50624	63911
884	50674	63844
885	50722	63775
886	50777	63715
887	50827	63648
888	50880	63586
889	50933	63523
890	50981	63455
891	51031	63388
892	51082	63324
