iter	Logloss
0	0.5708672678
1	0.495002199
2	0.4572211069
3	0.4336960399
4	0.4166298876
5	0.4028035451
6	0.3892690323
7	0.3827728024
8	0.3772951019
9	0.3711285442
10	0.3670653162
11	0.3578534045
12	0.3544460287
13	0.3508374668
14	0.3487790292
15	0.3468109199
16	0.3437264213
17	0.340620531
18	0.3383931659
19	0.3355418542
20	0.3344576544
21	0.3326417336
22	0.3305099036
23	0.3277477764
24	0.3268501205
25	0.3251426745
26	0.3239853355
27	0.3204524664
28	0.3188140682
29	0.3169307595
30	0.3147948281
31	0.3140444918
32	0.3131943613
33	0.3119325889
34	0.310181516
35	0.3089483455
36	0.3078071238
37	0.3070541646
38	0.3058513868
39	0.3048534805
40	0.303758924
41	0.3025375981
42	0.3017144947
43	0.3011100967
44	0.2987205296
45	0.2978880088
46	0.2972374396
47	0.2965036441
48	0.2959448909
49	0.2950111167
50	0.2930441023
51	0.2922479158
52	0.2914129464
53	0.2906053238
54	0.2892937991
55	0.2886698597
56	0.287298995
57	0.2865151023
58	0.2853929699
59	0.2845577026
60	0.283542503
61	0.2825716144
62	0.2818685356
63	0.2809428907
64	0.2799682649
65	0.2793208719
66	0.2788006987
67	0.2782503081
68	0.2762812327
69	0.275841531
70	0.2749530236
71	0.2744365077
72	0.2736825183
73	0.2728302831
74	0.2720779587
75	0.2718587394
76	0.2707459845
77	0.2703940686
78	0.268904591
79	0.268327171
80	0.2677310785
81	0.2665991219
82	0.2662367771
83	0.265489136
84	0.2649152155
85	0.2646962743
86	0.2640632377
87	0.2634544782
88	0.2629979208
89	0.2625037502
90	0.2621419729
91	0.2617637473
92	0.261400397
93	0.261045843
94	0.2603557554
95	0.2595755858
96	0.2590641018
97	0.2586446771
98	0.2582822464
99	0.2577163911
100	0.2573231876
101	0.2573015865
102	0.2569860278
103	0.2565072414
104	0.2558758259
105	0.2557460877
106	0.2551746376
107	0.2548616024
108	0.2546116644
109	0.2543141644
110	0.253903922
111	0.2532529603
112	0.2525436978
113	0.2521175107
114	0.2515543716
115	0.2511825153
116	0.2509148604
117	0.2506778704
118	0.2504918828
119	0.2502208275
120	0.2501326536
121	0.2495084333
122	0.2492507943
123	0.2490679113
124	0.2486692659
125	0.2482977514
126	0.2478027923
127	0.2477261548
128	0.2473698426
129	0.2472681431
130	0.2469508703
131	0.2466103677
132	0.2464758799
133	0.2463490214
134	0.2459021144
135	0.2455134154
136	0.2451503512
137	0.2449686189
138	0.2448637846
139	0.2446342116
140	0.2444827467
141	0.2440800594
